Epoch,Train_Acc(%),Val_Acc(%),Train_Loss,Val_Loss,Train_MAE,Val_MAE,Train_RMSE,Val_RMSE
1,58.56,54.81,0.6048,0.5552,6.6462,6.5909,8.6869,8.7928
2,59.25,55.60,0.5915,0.5459,6.8439,6.4670,8.9222,8.6399
3,61.29,56.84,0.5539,0.5242,6.4559,5.9123,8.4085,7.9449
4,64.64,60.28,0.5078,0.4870,6.0741,5.5424,7.9512,7.4992
5,67.44,63.55,0.4634,0.4587,6.0052,5.5031,7.7700,7.3542
6,69.89,66.06,0.4268,0.4301,5.7616,5.4245,7.4600,7.1234
7,72.85,69.51,0.3978,0.4062,5.4890,5.5259,7.1077,7.1903
8,74.92,71.06,0.3666,0.3920,5.1221,5.4373,6.6292,6.9956
9,76.91,72.44,0.3391,0.3729,4.8965,5.0578,6.4068,6.5727
10,78.92,74.65,0.3138,0.3562,4.5901,5.0836,5.9575,6.6540
11,80.59,75.98,0.2877,0.3320,4.3664,4.7997,5.7076,6.3357
12,81.91,77.34,0.2672,0.3119,4.1948,4.5809,5.4735,6.0667
13,83.23,78.73,0.2469,0.2938,4.0224,4.7042,5.2088,6.1185
14,84.43,79.89,0.2278,0.2728,3.8695,4.3421,5.1138,5.5774
15,85.61,81.19,0.2117,0.2593,3.7126,4.2846,4.9201,5.4482
16,86.85,82.56,0.1942,0.2423,3.5666,4.0954,4.6731,5.2667
17,87.81,83.68,0.1813,0.2285,3.3173,3.7971,4.3362,4.9338
18,88.68,84.57,0.1659,0.2160,3.2330,3.5556,4.1635,4.6560
19,89.35,85.29,0.1514,0.2023,3.1324,3.4022,4.0144,4.4866
20,90.10,86.18,0.1405,0.1928,3.0978,3.4447,3.9865,4.4313
21,90.79,87.15,0.1313,0.1799,3.0963,3.3432,4.0671,4.3639
22,91.73,87.91,0.1237,0.1694,3.0062,3.3815,3.9418,4.3727
23,92.47,88.86,0.1179,0.1626,2.9877,3.3631,3.8737,4.3639
24,92.64,89.09,0.1134,0.1538,2.8643,3.2050,3.7264,4.3512
25,92.92,89.77,0.1068,0.1456,2.8258,3.1289,3.6241,4.0428
26,93.15,90.61,0.0995,0.1423,2.6478,3.1068,3.3308,4.0031
27,93.36,90.72,0.0930,0.1358,2.5675,2.9356,3.2275,3.7350
28,94.10,91.07,0.0877,0.1271,2.4471,2.8830,3.0172,3.5545
29,94.70,91.09,0.0834,0.1251,2.3491,2.7855,2.8855,3.4718
30,95.24,91.23,0.0805,0.1191,2.3628,2.7402,2.9845,3.4764
31,95.46,91.91,0.0768,0.1104,2.2785,2.7766,2.8579,3.5626
32,95.65,92.71,0.0724,0.1094,2.2710,2.6543,2.9281,3.4043
33,96.05,93.38,0.0684,0.1051,2.1951,2.6411,2.7961,3.3497
34,96.09,93.55,0.0678,0.1022,2.1135,2.5182,2.6609,3.2360
35,96.46,93.84,0.0649,0.1050,2.0984,2.5241,2.6702,3.3332
36,96.62,93.89,0.0633,0.1043,2.0983,2.5329,2.6125,3.3594
37,96.46,94.13,0.0624,0.0980,2.0829,2.5369,2.6162,3.4564
38,96.56,94.16,0.0591,0.0928,2.0322,2.5051,2.5105,3.3450
39,96.64,94.26,0.0578,0.0865,1.9927,2.4946,2.4895,3.0978
40,96.72,94.50,0.0562,0.0835,1.9102,2.4564,2.4295,3.0495
41,96.91,94.76,0.0540,0.0816,1.8811,2.4456,2.4572,3.1577
42,97.00,94.97,0.0522,0.0812,1.8735,2.4956,2.4384,3.2932
43,97.02,95.05,0.0510,0.0795,1.8526,2.3713,2.4412,3.1110
44,97.19,95.09,0.0506,0.0763,1.8720,2.3718,2.4617,3.0621
45,97.32,95.10,0.0486,0.0758,1.8754,2.2831,2.4364,2.8566
46,97.40,95.28,0.0488,0.0771,1.8802,2.2465,2.4904,2.7460
47,97.50,95.63,0.0479,0.0783,1.8360,2.3122,2.4499,3.0533
48,97.59,95.61,0.0460,0.0762,1.8265,2.3054,2.4926,2.9718
49,97.69,95.71,0.0471,0.0749,1.8292,2.3396,2.5209,2.9831
50,97.77,95.90,0.0471,0.0731,1.8395,2.3469,2.5815,2.9798
