Epoch,Train_Acc(%),Val_Acc(%),Train_Loss,Val_Loss,Train_MAE,Val_MAE,Train_RMSE,Val_RMSE
1,58.28,58.39,0.5898,0.5698,6.4981,5.9387,8.3638,7.8727
2,59.45,57.79,0.5769,0.5589,6.3530,5.9961,8.1698,7.8797
3,62.46,59.80,0.5382,0.5319,5.9319,5.7181,7.5446,7.4491
4,66.37,62.82,0.4897,0.4994,5.3988,5.5918,6.8586,7.2087
5,69.84,65.46,0.4423,0.4573,5.0376,5.4604,6.3259,7.0123
6,72.60,69.05,0.4015,0.4210,4.7127,5.1277,5.9391,6.6589
7,74.89,71.89,0.3671,0.3855,4.4483,5.0012,5.6885,6.4453
8,77.08,73.87,0.3369,0.3531,4.2675,4.7360,5.4689,6.1594
9,79.45,75.65,0.3059,0.3346,4.0184,4.6345,5.2388,5.9869
10,81.50,77.38,0.2811,0.3136,3.7361,4.4089,4.8591,5.6582
11,83.15,78.44,0.2573,0.2976,3.6053,4.2513,4.6574,5.5508
12,84.39,79.76,0.2355,0.2739,3.3448,4.0109,4.2899,5.2247
13,85.74,81.15,0.2190,0.2537,3.2408,3.6680,4.1772,4.7986
14,86.99,82.33,0.1984,0.2353,3.1949,3.6322,4.0920,4.8401
15,88.09,84.07,0.1832,0.2229,2.9920,3.4608,3.8414,4.5938
16,89.27,85.65,0.1688,0.2156,2.9793,3.3580,3.8127,4.3874
17,89.80,86.95,0.1558,0.2045,2.7838,3.2295,3.5017,4.2533
18,90.54,88.03,0.1443,0.1947,2.6682,3.0622,3.3620,3.9189
19,91.50,88.90,0.1338,0.1811,2.5813,2.9517,3.2653,3.7784
20,92.12,89.30,0.1222,0.1706,2.4699,2.8041,3.1356,3.5690
21,92.97,89.56,0.1121,0.1588,2.4093,2.7410,3.0630,3.5066
22,93.61,90.27,0.1048,0.1497,2.2788,2.6264,2.8866,3.3154
23,94.12,90.69,0.0962,0.1406,2.1825,2.5365,2.7583,3.2283
24,94.71,91.19,0.0889,0.1312,2.0883,2.4712,2.6062,3.2160
25,95.15,91.61,0.0839,0.1244,1.9876,2.4013,2.4896,3.1646
26,95.38,92.14,0.0778,0.1188,1.8975,2.3703,2.4321,3.1721
27,95.77,92.42,0.0727,0.1124,1.9070,2.3323,2.4185,2.9791
28,95.95,93.25,0.0690,0.1093,1.7979,2.2480,2.3178,2.7956
29,96.14,93.93,0.0658,0.1034,1.7108,2.2237,2.2893,2.6921
30,96.45,94.27,0.0633,0.1006,1.6966,2.1724,2.2020,2.7457
31,96.70,94.74,0.0609,0.0969,1.6212,2.1056,2.0798,2.7789
32,96.99,94.98,0.0587,0.0915,1.6705,2.0821,2.1315,2.8690
33,97.18,95.19,0.0562,0.0887,1.6786,2.0480,2.1116,2.7960
34,97.38,95.52,0.0537,0.0843,1.6679,2.0403,2.1888,2.6737
35,97.51,95.68,0.0515,0.0820,1.6313,2.0059,2.1540,2.5883
36,97.58,95.76,0.0503,0.0803,1.5631,1.9692,2.0966,2.5342
37,97.65,95.91,0.0489,0.0789,1.5452,1.9637,2.0196,2.5412
38,97.85,96.03,0.0468,0.0770,1.5119,1.9291,1.8983,2.5069
39,97.91,96.25,0.0451,0.0770,1.4955,1.8751,1.8555,2.5246
40,98.14,96.35,0.0436,0.0753,1.4894,1.8642,1.8612,2.4187
41,98.34,96.73,0.0420,0.0736,1.4348,1.7901,1.7655,2.3462
42,98.31,96.78,0.0415,0.0728,1.4362,1.7730,1.7938,2.2766
43,98.45,96.88,0.0404,0.0694,1.4170,1.7786,1.8302,2.2003
44,98.40,97.10,0.0391,0.0682,1.4053,1.7451,1.8404,2.2334
45,98.42,97.16,0.0379,0.0680,1.4185,1.7606,1.9185,2.3086
46,98.58,97.27,0.0360,0.0657,1.3922,1.6871,1.8411,2.2110
47,98.53,97.42,0.0359,0.0633,1.3680,1.6497,1.7999,2.0593
48,98.61,97.47,0.0358,0.0616,1.3574,1.6428,1.7613,2.0373
49,98.64,97.32,0.0354,0.0606,1.3495,1.5921,1.6760,1.9928
50,98.66,97.28,0.0354,0.0606,1.3502,1.6152,1.6715,2.1604
