Epoch,Train_Acc(%),Val_Acc(%),Train_Loss,Val_Loss,Train_MAE,Val_MAE,Train_RMSE,Val_RMSE
1,56.14,53.93,0.6152,0.5817,6.2705,6.4284,8.2198,8.1611
2,57.89,55.38,0.5985,0.5727,6.2676,6.3919,8.1007,8.1083
3,59.39,57.99,0.5697,0.5525,6.0627,6.3221,7.8829,8.0557
4,61.60,60.30,0.5328,0.5224,5.8450,6.2535,7.5878,8.1080
5,65.16,62.85,0.4917,0.4944,5.6329,5.9084,7.2333,7.6360
6,67.04,64.24,0.4616,0.4715,5.2292,5.6196,6.7470,7.3701
7,69.51,66.17,0.4272,0.4461,5.0423,5.2785,6.4089,7.0174
8,71.59,68.25,0.3926,0.4232,4.7245,4.8104,5.9928,6.3141
9,74.49,70.20,0.3638,0.3972,4.5495,4.5934,5.8242,6.0749
10,76.94,72.24,0.3322,0.3690,4.4489,4.3760,5.7430,5.7664
11,78.61,74.30,0.3109,0.3424,4.1650,4.1686,5.4370,5.4924
12,80.33,76.47,0.2899,0.3202,4.0189,4.1010,5.1970,5.5294
13,80.78,77.94,0.2770,0.3037,3.7475,4.0747,4.7628,5.5745
14,81.82,78.72,0.2647,0.2866,3.5652,3.9603,4.5615,5.4807
15,83.04,80.08,0.2451,0.2704,3.5023,3.9269,4.4919,5.3538
16,84.31,80.58,0.2283,0.2579,3.3773,3.8371,4.4664,5.0846
17,85.44,81.77,0.2113,0.2393,3.3069,3.6380,4.4729,4.6933
18,86.78,83.10,0.1955,0.2293,3.1991,3.3867,4.2436,4.2267
19,87.70,83.15,0.1854,0.2222,3.0235,3.3054,4.0282,4.1245
20,88.40,84.36,0.1747,0.2078,2.8443,3.1082,3.7426,3.9195
21,89.45,84.70,0.1622,0.2001,2.6283,3.0414,3.4291,3.8524
22,90.03,85.61,0.1513,0.1893,2.5238,3.0600,3.3015,3.9752
23,90.61,86.49,0.1433,0.1809,2.4733,2.9342,3.1915,3.8234
24,91.15,87.62,0.1358,0.1750,2.5017,2.9558,3.2010,3.8100
25,91.50,87.98,0.1276,0.1660,2.4690,2.8608,3.1826,3.7129
26,92.17,88.44,0.1242,0.1599,2.4006,2.8446,3.1273,3.7520
27,92.66,88.80,0.1133,0.1539,2.2944,2.7206,3.0457,3.6031
28,93.06,89.11,0.1087,0.1501,2.1808,2.6875,2.8771,3.5469
29,93.49,89.54,0.1025,0.1498,2.0860,2.5792,2.7402,3.3957
30,93.45,89.89,0.0972,0.1450,2.0567,2.5383,2.7155,3.3329
31,93.77,90.50,0.0926,0.1343,2.0184,2.5301,2.5804,3.2849
32,94.20,90.45,0.0856,0.1280,1.9885,2.4677,2.5275,3.3074
33,94.41,91.35,0.0826,0.1221,2.0256,2.5580,2.5944,3.5445
34,94.78,91.76,0.0770,0.1187,1.9793,2.3907,2.5353,3.1173
35,95.11,92.17,0.0755,0.1211,1.9359,2.3651,2.5039,3.1802
36,94.93,92.85,0.0745,0.1176,1.9423,2.3381,2.5672,3.0750
37,95.16,92.79,0.0729,0.1151,1.9204,2.2808,2.4799,2.8745
38,95.24,92.88,0.0719,0.1129,1.8975,2.3787,2.4406,3.0918
39,95.18,92.90,0.0688,0.1071,1.8910,2.3833,2.4167,3.0584
40,95.64,93.06,0.0667,0.1032,1.8034,2.3544,2.2965,3.0497
41,95.74,93.52,0.0651,0.0993,1.7355,2.3034,2.2671,3.0583
42,95.92,93.72,0.0631,0.0972,1.7024,2.2440,2.2042,2.9714
43,96.11,93.83,0.0611,0.0961,1.7016,2.2058,2.2540,2.9573
44,96.19,93.78,0.0589,0.0945,1.7051,2.1988,2.2157,3.0045
45,96.23,93.74,0.0565,0.0952,1.7527,2.1820,2.2326,3.0530
46,96.46,93.94,0.0549,0.0927,1.7479,2.1755,2.1905,3.1306
47,96.68,94.12,0.0555,0.0888,1.7483,2.2004,2.1577,3.1941
48,96.77,94.56,0.0543,0.0887,1.7629,2.1875,2.2155,3.2068
49,96.92,94.69,0.0528,0.0857,1.7048,2.1608,2.1438,3.1153
50,96.94,94.74,0.0520,0.0843,1.6760,2.1241,2.1474,3.0524
